label,duration_s,dark_area_delta_max_px,dark_area_delta_max_ratio_vs_initial,dark_area_peak_time_norm,cabinet_roi_changed_px_peak,cabinet_roi_changed_peak_time_norm,gripper_min_dist_to_middle_handle_proxy_px,gripper_min_dist_time_norm
success_qwen_oft,12.2,2535,0.9609552691432903,0.9918032786885246,1785,0.958743169398907,55.13834503590777,0.7273224043715847
pi05_ckpt30000_fail,30.5,148,0.0594855305466238,0.8970491803278687,188,0.7641530054644808,61.142934273723114,0.7973770491803278
pi05_ckpt60000_fail,30.5,169,0.06773547094188377,0.8306010928961747,1232,0.29901639344262293,57.791901715972024,0.5980327868852459
pi05_ckpt90000_fail,30.5,2677,1.072945891783567,0.6977049180327868,2042,0.6644808743169398,57.689322522253086,0.4319125683060109
